Latitude,Longitude,State,Report Date
-14.73992,144.041884,QLD,23/10/2022
-17.719009000000003,145.21427,QLD,23/10/2022
-17.087772,145.761328,QLD,23/10/2022
-38.1090316991131,145.13390781179578,VIC,23/10/2022
-37.80645037671574,145.30801244343485,VIC,23/10/2022
-38.18060298504869,144.71094204349748,VIC,23/10/2022
-38.19878798147764,147.35831456133553,VIC,23/10/2022
-37.14920713139297,144.16766192637562,VIC,23/10/2022
-35.33772868921819,143.55808395591023,VIC,23/10/2022
-38.04153084376884,145.20129147346245,VIC,23/10/2022
-36.794090955201504,144.2383382497992,VIC,23/10/2022
-37.61307010420576,145.13622445962218,VIC,23/10/2022
-38.077630021082975,145.2488939904401,VIC,23/10/2022
-37.98733186913988,145.21713377303954,VIC,23/10/2022
-38.16734160667004,145.1285750792327,VIC,23/10/2022
-37.76175225882919,145.2789487212114,VIC,23/10/2022
-38.104953173120286,145.3280306168677,VIC,23/10/2022
-23.937427000000003,151.354327,QLD,23/10/2022
-23.30709500000001,150.38001,QLD,23/10/2022
-14.73992,144.041884,QLD,24/10/2022
-16.72986600000001,145.56141900000003,QLD,24/10/2022
-17.719009000000003,145.21427,QLD,24/10/2022
-10.5935,142.250711,QLD,24/10/2022
-19.507750999999995,146.25019600000002,QLD,24/10/2022
-15.134097999999996,145.091327,QLD,24/10/2022
-19.569381,147.215228,QLD,24/10/2022
-38.19685857834025,146.53369222705973,VIC,24/10/2022
-38.3991352413324,143.55311117261724,VIC,24/10/2022
-38.1090316991131,145.13390781179578,VIC,24/10/2022
-37.80645037671574,145.30801244343485,VIC,24/10/2022
-37.8310851543918,144.6781261695199,VIC,24/10/2022
-36.77851208806751,144.22683223593722,VIC,24/10/2022
-38.02814925595205,146.81727088895568,VIC,24/10/2022
-38.20185728842895,144.34475177561123,VIC,24/10/2022
-36.78378596047022,145.1590857204545,VIC,24/10/2022
-37.88567898952983,144.6989472945496,VIC,24/10/2022
