Latitude,Longitude,State,Report Date
-14.739920000000001,144.041884,QLD,23/10/2022
-17.719009000000003,145.21427,QLD,23/10/2022
-17.087772,145.761328,QLD,23/10/2022
-38.1090316991131,145.13390781179578,VIC,23/10/2022
-37.80645037671574,145.30801244343485,VIC,23/10/2022
-38.180602985048694,144.71094204349748,VIC,23/10/2022
-38.19878798147764,147.35831456133553,VIC,23/10/2022
-37.14920713139297,144.16766192637562,VIC,23/10/2022
-35.33772868921819,143.55808395591023,VIC,23/10/2022
-38.04153084376884,145.20129147346245,VIC,23/10/2022
-36.794090955201504,144.2383382497992,VIC,23/10/2022
-37.613070104205754,145.13622445962218,VIC,23/10/2022
-38.077630021082975,145.2488939904401,VIC,23/10/2022
-37.98733186913988,145.21713377303954,VIC,23/10/2022
-38.16734160667004,145.1285750792327,VIC,23/10/2022
-37.76175225882919,145.2789487212114,VIC,23/10/2022
-38.104953173120286,145.3280306168677,VIC,23/10/2022
