,latitude,longitude,state,report_date,coords,index_right,lga_code,lga_name,population
520,-37.928226,145.23885,VIC,2022-11-23,POINT (145.23885 -37.928226),81,23670,Knox (C),149300
607,-37.88299,145.25737,VIC,2022-11-23,POINT (145.25737 -37.88299),81,23670,Knox (C),149300
640,-37.846214,145.21722,VIC,2023-01-18,POINT (145.21722 -37.846214),81,23670,Knox (C),149300
645,-37.869667,145.2383,VIC,2023-01-23,POINT (145.2383 -37.869667),81,23670,Knox (C),149300
198,-27.980417,153.07127,QLD,2022-12-11,POINT (153.07127 -27.980417),397,36510,Scenic Rim (R),36456
413,-27.887589,152.48444,QLD,2023-03-04,POINT (152.48444 -27.887589),397,36510,Scenic Rim (R),36456
453,-27.98736,153.02248,QLD,2022-12-11,POINT (153.02248 -27.98736),397,36510,Scenic Rim (R),36456
516,-27.980417,153.07127,QLD,2022-12-12,POINT (153.07127 -27.980417),397,36510,Scenic Rim (R),36456
523,-27.985723,153.06987,QLD,2022-12-12,POINT (153.06987 -27.985723),397,36510,Scenic Rim (R),36456
596,-27.929663,153.19255,QLD,2022-11-08,POINT (153.19255 -27.929663),397,36510,Scenic Rim (R),36456
199,-37.1583,141.375,VIC,2023-01-17,POINT (141.375 -37.1583),269,26890,West Wimmera (S),4251
291,-37.169373,141.374,VIC,2023-01-16,POINT (141.374 -37.169373),269,26890,West Wimmera (S),4251
420,-36.996483,140.9981,VIC,2023-01-18,POINT (140.9981 -36.996483),269,26890,West Wimmera (S),4251
595,-37.1583,141.375,VIC,2023-01-16,POINT (141.375 -37.1583),269,26890,West Wimmera (S),4251
613,-37.22975,141.29309,VIC,2023-01-17,POINT (141.29309 -37.22975),269,26890,West Wimmera (S),4251
643,-37.2297,141.2931,VIC,2023-01-16,POINT (141.2931 -37.2297),269,26890,West Wimmera (S),4251
652,-37.169373,141.374,VIC,2023-01-17,POINT (141.374 -37.169373),269,26890,West Wimmera (S),4251
684,-37.23154,141.2829,VIC,2023-01-16,POINT (141.2829 -37.23154),269,26890,West Wimmera (S),4251
695,-37.1484,141.3806,VIC,2023-01-16,POINT (141.3806 -37.1484),269,26890,West Wimmera (S),4251
707,-37.23154,141.2829,VIC,2023-01-17,POINT (141.2829 -37.23154),269,26890,West Wimmera (S),4251
211,-38.65943,146.2081,VIC,2022-12-05,POINT (146.2081 -38.65943),211,26170,South Gippsland (S),27208
387,-38.58354,146.17232,VIC,2023-01-17,POINT (146.17232 -38.58354),211,26170,South Gippsland (S),27208
507,-38.53005,145.88013,VIC,2022-12-11,POINT (145.88013 -38.53005),211,26170,South Gippsland (S),27208
606,-38.406467,145.76169,VIC,2023-01-17,POINT (145.76169 -38.406467),211,26170,South Gippsland (S),27208
214,-22.038334,145.66472,QLD,2022-12-17,POINT (145.66472 -22.038334),311,32310,Charters Towers (R),12169
650,-22.038334,145.66472,QLD,2022-12-18,POINT (145.66472 -22.038334),311,32310,Charters Towers (R),12169
219,-37.598637,141.69707,VIC,2022-11-23,POINT (141.69707 -37.598637),212,26260,Southern Grampians (S),16359
497,-37.5851,142.3172,VIC,2023-01-17,POINT (142.3172 -37.5851),212,26260,Southern Grampians (S),16359
221,-38.63482,145.73254,VIC,2023-03-04,POINT (145.73254 -38.63482),4,20740,Bass Coast (S),29614
300,-38.605755,145.59216,VIC,2023-02-24,POINT (145.59216 -38.605755),4,20740,Bass Coast (S),29614
470,-38.609627,145.58234,VIC,2022-12-11,POINT (145.58234 -38.609627),4,20740,Bass Coast (S),29614
476,-38.6285,145.71684,VIC,2023-01-16,POINT (145.71684 -38.6285),4,20740,Bass Coast (S),29614
509,-38.46131,145.23859,VIC,2022-12-12,POINT (145.23859 -38.46131),4,20740,Bass Coast (S),29614
224,-36.390625,146.44482,VIC,2022-11-13,POINT (146.44482 -36.390625),231,26700,Wangaratta (RC),26815
276,-36.35363,146.32788,VIC,2022-12-11,POINT (146.32788 -36.35363),231,26700,Wangaratta (RC),26815
303,-36.36574,146.30498,VIC,2022-11-13,POINT (146.30498 -36.36574),231,26700,Wangaratta (RC),26815
541,-36.348625,146.30222,VIC,2023-02-24,POINT (146.30222 -36.348625),231,26700,Wangaratta (RC),26815
228,-38.330692,143.61203,VIC,2022-12-17,POINT (143.61203 -38.330692),26,21750,Colac-Otway (S),20345
336,-38.717113,143.64125,VIC,2022-11-23,POINT (143.64125 -38.717113),26,21750,Colac-Otway (S),20345
361,-38.39425,143.55571,VIC,2022-12-17,POINT (143.55571 -38.39425),26,21750,Colac-Otway (S),20345
610,-38.294308,143.53912,VIC,2023-03-04,POINT (143.53912 -38.294308),26,21750,Colac-Otway (S),20345
236,-38.348778,142.55765,VIC,2022-11-30,POINT (142.55765 -38.348778),197,25490,Moyne (S),15955
320,-38.28428,142.66241,VIC,2022-12-06,POINT (142.66241 -38.28428),197,25490,Moyne (S),15955
641,-38.39539,142.6277,VIC,2022-11-08,POINT (142.6277 -38.39539),197,25490,Moyne (S),15955
237,-19.50167,147.07755,QLD,2022-12-11,POINT (147.07755 -19.50167),305,31900,Burdekin (S),17364
241,-27.353422,152.82849,QLD,2022-12-12,POINT (152.82849 -27.353422),380,35010,Moreton Bay (R),378045
355,-27.070765,152.95218,QLD,2022-12-05,POINT (152.95218 -27.070765),380,35010,Moreton Bay (R),378045
479,-27.24975,152.82793,QLD,2023-02-24,POINT (152.82793 -27.24975),380,35010,Moreton Bay (R),378045
558,-27.353422,152.82849,QLD,2022-12-11,POINT (152.82849 -27.353422),380,35010,Moreton Bay (R),378045
246,-37.72968,145.09462,VIC,2022-12-11,POINT (145.09462 -37.72968),2,20660,Banyule (C),118306
255,-36.426514,142.29106,VIC,2023-01-17,POINT (142.29106 -36.426514),276,27630,Yarriambiack (S),7088
455,-36.4291,142.2785,VIC,2023-01-17,POINT (142.2785 -36.4291),276,27630,Yarriambiack (S),7088
261,-16.661812,145.56557,QLD,2022-12-11,POINT (145.56557 -16.661812),307,32070,Cairns (R),156169
345,-16.720814,145.6413,QLD,2022-12-11,POINT (145.6413 -16.720814),307,32070,Cairns (R),156169
397,-16.188057,145.14917,QLD,2022-11-24,POINT (145.14917 -16.188057),307,32070,Cairns (R),156169
426,-16.723282,145.64322,QLD,2022-11-08,POINT (145.64322 -16.723282),307,32070,Cairns (R),156169
525,-16.188057,145.14917,QLD,2022-11-23,POINT (145.14917 -16.188057),307,32070,Cairns (R),156169
530,-16.661812,145.56557,QLD,2022-12-12,POINT (145.56557 -16.661812),307,32070,Cairns (R),156169
532,-16.720814,145.6413,QLD,2022-12-12,POINT (145.6413 -16.720814),307,32070,Cairns (R),156169
271,-10.581555,142.22308,QLD,2022-11-08,POINT (142.22308 -10.581555),413,36950,Torres (S),3256
297,-28.998573,147.46667,QLD,2023-02-24,POINT (147.46667 -28.998573),279,30300,Balonne (S),4720
533,-28.882881,148.93373,QLD,2023-02-24,POINT (148.93373 -28.882881),279,30300,Balonne (S),4720
675,-28.882881,148.93373,QLD,2023-02-25,POINT (148.93373 -28.882881),279,30300,Balonne (S),4720
317,-27.75108,152.81235,QLD,2023-01-17,POINT (152.81235 -27.75108),364,33960,Ipswich (C),166904
381,-27.75108,152.81235,QLD,2023-01-16,POINT (152.81235 -27.75108),364,33960,Ipswich (C),166904
417,-27.602186,152.75587,QLD,2022-12-12,POINT (152.75587 -27.602186),364,33960,Ipswich (C),166904
614,-27.75108,152.81235,QLD,2023-01-18,POINT (152.81235 -27.75108),364,33960,Ipswich (C),166904
698,-27.666136,152.86102,QLD,2023-01-23,POINT (152.86102 -27.666136),364,33960,Ipswich (C),166904
380,-38.040962,145.12955,VIC,2022-12-11,POINT (145.12955 -38.040962),80,23430,Kingston (C),142425
638,-38.052254,145.12904,VIC,2022-12-17,POINT (145.12904 -38.052254),80,23430,Kingston (C),142425
408,-24.972033,152.37866,QLD,2022-12-17,POINT (152.37866 -24.972033),287,31820,Bundaberg (R),89810
504,-25.06535,151.67644,QLD,2022-11-23,POINT (151.67644 -25.06535),287,31820,Bundaberg (R),89810
555,-24.905954,151.79196,QLD,2022-12-06,POINT (151.79196 -24.905954),287,31820,Bundaberg (R),89810
691,-24.710318,152.26982,QLD,2023-03-04,POINT (152.26982 -24.710318),287,31820,Bundaberg (R),89810
701,-25.06535,151.67644,QLD,2022-11-24,POINT (151.67644 -25.06535),287,31820,Bundaberg (R),89810
473,-21.433786,149.24089,QLD,2022-12-06,POINT (149.24089 -21.433786),371,34770,Mackay (R),112798
508,-21.137161,148.55675,QLD,2022-12-12,POINT (148.55675 -21.137161),371,34770,Mackay (R),112798
487,-28.101805,153.40236,QLD,2022-12-11,POINT (153.40236 -28.101805),345,33430,Gold Coast (C),494501
618,-24.838646,146.77771,QLD,2023-02-25,POINT (146.77771 -24.838646),283,30760,Blackall Tambo (R),2200
646,-24.838646,146.77771,QLD,2023-02-24,POINT (146.77771 -24.838646),283,30760,Blackall Tambo (R),2200
